Код,Название,Адрес,x,y,,,,,,,,Группа
77,Bereke 89,"Асар микрорайон, 120/4",69.609788,42.407058,,,,,,,,
78,Bis,"Аманжолова, 60",69.583669,42.336419,,,,,,,,
79,City Market,"Туркестан, 106/1, 1 этаж",69.492814,42.381163,,,,,,,,
80,COCA COLA,"Жылкышиева, 182/2",69.647059,42.310894,,,,,,,,
81,Daiana,"Нурсат 2 микрорайон, 20, 1 этаж",69.644532,42.355806,,,,,,,,
82,Dala fruit,"Байтурсынова, 102, 1 этаж",69.605905,42.348849,,,,,,,,
83,Dana,"Машат, 38/2",69.6927,42.344853,,,,,,,,
84,DELOS,"Майлы Кожа, 202а, 1 этаж",69.63087,42.308494,,,,,,,,
85,Diana,"Интернациональная, 60/1, 1 этаж",69.558405,42.322118,,,,,,,,
86,Dostar,"Отырар микрорайон, 12/7",69.614521,42.347438,,,,,,,,
87,Eldos,"18-й микрорайон, 19",69.624428,42.340927,,,,,,,,
88,Ernur,"Республики проспект, 10, 1 этаж",69.580574,42.31684,,,,,,,,
89,FAMILY,"Алматинская трасса, 13/1",69.655273,42.404678,,,,,,,,
90,Fariza,"Аль-Фараби, 168",69.697119,42.318672,,,,,,,,
91,Firkan,"16-й микрорайон, 43/1",69.63706,42.336536,,,,,,,,
92,Firkan,"Толе би, 39а",69.615113,42.304704,,,,,,,,
93,GORILLA,"Желтоксан, 114, 1 этаж",69.622505,42.318117,,,,,,,,
94,JADI,"Айтымбет улы, 10",69.568815,42.353757,,,,,,,,
95,Jansaia,"Восток микрорайон, 41/1",69.643703,42.338681,,,,,,,,
96,Jasur,"Сатыбалдиева, 43/2",69.781008,42.310303,,,,,,,,
97,Juicy,"Бау-бакша проезд, 2",69.61048,42.321488,,,,,,,,
98,LEMON,"Рыскулова, 359/7",69.57265,42.352375,,,,,,,,
99,MADI,"Аргынбекова, 65/1, 1 этаж",69.604201,42.3615,,,,,,,,
100,Magaz,"Казыбек Би, 49",69.604991,42.321135,,,,,,,,
101,Martobe,"Жибек жолы, 9/4, 1 этаж",69.75968,42.376982,,,,,,,,
102,MEDIA,"Тыныбаева, 21",69.598609,42.319714,,,,,,,,
103,Miras,"Байтурсынова, 88/1, 1 этаж",69.604511,42.343042,,,,,,,,
104,Nazik,"Еламан, 94/3а",69.631961,42.280492,,,,,,,,
105,Nesibeli,"Тамерлановское шоссе, 202, 1 этаж",69.528351,42.354005,,,,,,,,
106,NIX,"Север микрорайон, 34, 1 этаж",69.643331,42.341923,,,,,,,,
107,№44,"Гагарина, 44, 1 этаж",69.570195,42.308659,,,,,,,,
108,Nur Tabys,"Айдын, 130",69.673739,42.335313,,,,,,,,
109,Nursaia,"Астана микрорайон, 87, 0 этаж",69.655075,42.352324,,,,,,,,
110,OKEY,"Ибрагим ата, 113/37, 1 этаж",69.758958,42.308982,,,,,,,,
111,Qanag’at,"Арайлытан, 541",69.559474,42.394887,,,,,,,,
112,Qanagat,"Байтурсынова, 206/1",69.611278,42.363068,,,,,,,,
113,QANAGAT,"Толе би, 20/8",69.609699,42.306944,,,,,,,,
114,Qarashash Ana,"Туганбай Алпысбаева, 1/2",69.574949,42.392026,,,,,,,,
115,Rahat,"Сатыбалдиева, 22",69.777865,42.306226,,,,,,,,
116,RICH,"17-й микрорайон, 16а/3",69.633661,42.336422,,,,,,,,
117,Royal,"Диваева, 129, 1 этаж",69.615625,42.34066,,,,,,,,
118,SALIMA,"17-й микрорайон, 8/1",69.633825,42.334926,,,,,,,,
119,SAMRUKOIL,"Байдибек би проспект, 130/6",69.630425,42.395154,,,,,,,,
120,SARA,"Юсупова, 36",69.544193,42.363205,,,,,,,,
121,Sayram,"Ибрагим ата, 259/2",69.706594,42.323422,,,,,,,,
122,Shahruh,"Айбергенова, 5/7",69.583486,42.312366,,,,,,,,
123,Sher,"Амира Тимура, 41а",69.79967,42.302372,,,,,,,,
124,SNICKERS,"Чайковского, 58",69.582906,42.288011,,,,,,,,
125,START,"Дулати, 133а, 1 этаж",69.608081,42.334125,,,,,,,,
126,Ta-Di,"Нурлыбаева, 22/1",69.609757,42.295642,,,,,,,,
127,Unikassa,"Нурсат микрорайон, 39/2",69.6276,42.361037,,,,,,,,
128,Urbibi marketi,"Тамерлановское шоссе, 21, 1 этаж",69.58052,42.323959,,,,,,,,
129,Yalihan,"Рыскулбекова, 5/5, 1 этаж",69.589806,42.323852,,,,,,,,
130,zenit,"Момынова, 90/1",69.676608,42.315309,,,,,,,,
131,А & К,"Арайлытан, 166",69.559213,42.397605,,,,,,,,
132,А? Бастау,"Турсынкул Утегенова, 7/5, 1 этаж",69.586396,42.360752,,,,,,,,
133,А? Боса?а,"Бауыржан Момышулы проспект, 20а, 1 этаж",69.586632,42.324145,,,,,,,,
134,А? Дастархан,"Тауке Хана проспект, 33, 1 этаж",69.60064,42.317874,,,,,,,,
135,А? Жар?ын,"Елшибек батыра, 97",69.633006,42.319455,,,,,,,,
136,А? Желкен,"Аль-Фараби площадь, 1Б/2, 1 этаж",69.590599,42.315744,,,,,,,,
137,А? жол,"Маншук Маметовой, 20а/1, 1 этаж",69.59691,42.333347,,,,,,,,
138,А? кеме,"Кошерова, 63, 1 этаж",69.646825,42.382079,,,,,,,,
139,А? Маржан,"Иргелес, 161/2",69.627141,42.350873,,,,,,,,
140,А? тілек,"Диваева, 142Б/1",69.615711,42.338649,,,,,,,,
141,А?-?айын,"Исмаилова, 24, 1 этаж",69.570792,42.303535,,,,,,,,
142,А?-?айын-2,"Астана микрорайон, 90, цокольный этаж",69.651874,42.353366,,,,,,,,
143,А?-?Й,"Бауыржан Момышулы проспект, 5, 1 этаж",69.588382,42.318192,,,,,,,,
144,А?-Ерке,"Шокана Уалиханова, 4/1",69.695369,42.352594,,,,,,,,
145,А?-ЖАЙЫ?,"Талдыколь, 1/1",69.543771,42.300213,,,,,,,,
146,А?-ниет,"18-й микрорайон, 5, 1 этаж",69.627674,42.340469,,,,,,,,
147,А?б?ла?,"Юсупова, 10/1",69.578145,42.377453,,,,,,,,
148,А?бастау,"Акбастау, 258/1",69.653634,42.324125,,,,,,,,
149,А?БАЯН,"Гагарина, 44/1, 1 этаж",69.570522,42.309254,,,,,,,,
150,А?бота,"Сайрам микрорайон, 7, 1 этаж",69.637673,42.342809,,,,,,,,
151,А?ерке,"Гагарина, 102, 1 этаж",69.560906,42.314713,,,,,,,,
152,А?ерке,"Шамши Калдаякова, 1/27а",69.578811,42.310106,,,,,,,,
153,А?жан,"Шамши Калдаякова, 2/5, 1 этаж",69.581893,42.309776,,,,,,,,
154,А?жол,"Дауренбека Курманбекова, 96/1",69.554815,42.332425,,,,,,,,
155,А?жуніс,"Баянаул, 31/1",69.576347,42.275168,,,,,,,,
156,А?маржан,"Тилеулес, 2",69.564803,42.293436,,,,,,,,
157,А?ниет,"Айбергенова, 5а, 1 этаж",69.581744,42.31343,,,,,,,,
158,А?ЫЛ,"Камытбек Мамешов, 1/1",69.52431,42.291577,,,,,,,,
159,А?ыл,"Алматинская трасса, 9/4, 1 этаж",69.641258,42.373057,,,,,,,,
160,А66,"Амангельды, 66/1, 1 этаж",69.588853,42.309114,,,,,,,,
161,Абiлхаир,"Есенова, 1/9",69.50208,42.392912,,,,,,,,
162,Абай,"Спортивный микрорайон, 15/1",69.597,42.336872,,,,,,,,
163,Абай,"4-й микрорайон, 19/1",69.569602,42.337701,,,,,,,,
